content,id,logo,unTappdAverageRating,unTappdRatings,volume assumed,Type,Town,County,Founded,Defunct,website,URL,Field 17,Count of Brews,StdDvABV,Avg ABV,IpAs,Count of Types,ICBI Member,phone,distributor/rep,distributor-rep,distributorOrrep,jurisdiction,FT_employees,PT_employees,output_2018,output_2017,output_2016,output_2015,output_2014,output_2013,output_2012,output_2011,output_2010,output_2009,tours,Naming Origin,SuccessorBrewery,twitterH,foundedMonth,foundedDay,defunctDay,defunctMonth,defunctYear,start,end,PlaceNamed,MythNamed,BrewerFounderNAmed,PhysicalBreweryClosed,PhysicalBreweryOpened,Farmbased,Operating,ExportPercent?,OnFarmSupply,SourceofFoundFunding,Lagers,Source,NodeID,YearsinBusiness,GrowOwnHops,GrowOwnBarley,HasTaproom,OffersTours,output_2019,output_2020,output_2021,output_2022,BrewedElsewhere,Count of Colabs,town,lon,lat,geo,
Maidenbank Brewery,maidenbank,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,Newry,Down,01/01/1983,01/01/1984,,,,,,,,1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,1,1984,1983-1-1,1984-1-1,,,,,,,No,,,,,,,1,,,,,,,,,,,Newry,-6.363664,54.189027,54.18902764,
Harty's Brewery,hartys,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,"Blessington Industrial Estate, Wicklow",Wicklow,01/09/1983,01/12/1984,,,,,,,,1,,,,,,ROI,,,,,,,,,,,,,No,,,,9,1,1,12,1984,1983-9-1,1984-12-1,,,1,,,,No,,,,,,201,1.25,,,No,,,,,,,,"Blessington Industrial Estate, Wicklow",-6.540068,53.165853,53.16585365,
Herald Brewery,herald,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,Coleraine,Londonderry,01/01/1982,01/01/1985,,,,,,,,1,,,,,,UK,,,,,,,,,,,,,No,,,,1,1,1,1,1985,1982-1-1,1985-1-1,,,,,,,No,,,,,,590,3,,,No,,,,,,,,Coleraine,-6.673442,55.133031,55.13303167,
Dempsey's Brewery,dempseys,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,"Jamestown Industrial Estate, Inchicore",Dublin,01/07/1982,01/01/1986,,,,2,0.141421356,4.1,"Pilsner
English Mild Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,7,1,1,1,1986,1982-7-1,1986-1-1,,,1,,,,No,,,,2,,200,3.51,,,,,,,,,,0,"Jamestown Industrial Estate, Inchicore",-6.333947,53.333989,53.33398963,
Down Royal Brewery,downroyal,https://irishcraftbrewing.com/pics/logos/downroyalLogo.jpeg,,,0,Defunct,Lisburn,Down,01/01/1982,01/01/1988,,,,,,,,1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,1,1988,1982-1-1,1988-1-1,1,,,,,,No,,,,,,591,6,,,,,,,,,,,Lisburn,-6.0541306,54.5166471,54.51664716,
Celtic Brew,celticbrew,https://irishcraftbrewing.com/pics/logos/celticbrewLogo.jpeg,3.2,11,4,Defunct,Enfield,Meath,01/01/1997,01/01/2000,,http://www.premierbeers.ie/CelticBrew/AboutUs.htm,,7,0.409878031,4.36,"Irish Dry Stout
Irish Red Ale
Lager
Pale Lager
Golden Ale
Lager
Lager",1,,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,1,1,2000,1997-1-1,2000-1-1,,,,,,,No,,,,5,,173,3,,,No,,,,,,,0,Enfield,-6.83828,53.416452,53.41645268,
Emerald Brewing,emerald,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,Boyle,Roscommon,01/01/1997,01/01/2000,,,,3,0.435889894,4.5,"Pilsner
Irish Dry Stout
Irish Red Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2000,1997-1-1,2000-1-1,,,,,,,No,,,,3,,182,3,,,,,,,,,,0,Boyle,-8.301379,53.970535,53.97053583,
Dublin Brewing Company,dublinbrewing,https://irishcraftbrewing.com/pics/logos/dublinbrewingLogo.jpeg,3.37,4704,587,Defunct,"141 West King Street, Dublin",Dublin,01/01/1996,01/01/2004,,,,4,0.221735578,4.375,"Blonde Ale
Hefeweizen
Irish Red Ale
Irish Dry Stout",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2004,1996-1-1,2004-1-1,1,,,,,,No,,,,4,,172,8.01,,,,,,,,,,0,"141 West King Street, Dublin",-6.275953,53.349872,53.34987263,
Dwan's Brewery,dwans,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.5,16,3,Defunct,Thurles,Tipperary,01/01/1998,01/01/2004,,http:dwan.ie,,15,1.091438544,5.553333333,"Extra Stout
English Strong Ale
Vienna Lager
Pilsner
English Bitter
English Strong Ale
Belgian Ale
Irish Pale Ale
Hefeweizen
Porter
Extra Stout
English Strong Ale
Irish Red Ale
Irish Dry Stout
Lager",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2004,1998-1-1,2004-1-1,,,1,,,,No,,,,11,,174,6,,,,,,,,,,0,Thurles,-7.812957,52.678095,52.67809578,
Irish Brewing Company,irishbrewing,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,Newbridge,Kildare,01/01/1997,01/01/2005,,http://breweryhistory.com/wiki/index.php?title=Irish_Brewing_Co,,1,?,4.2,Pilsner,1,,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,1,1,2005,1997-1-1,2005-1-1,1,,,,,,No,,,,1,,171,8.01,,,No,No,,,,,,0,Newbridge,-6.819448,53.168871,53.16887168,
