Title,Start,End,Media,Place,Location,Location_Original,Description
Maidenbank Brewery,01/01/1983,01/01/1984,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Newry,"54.189027,-6.363664",,Defunct
Harty's Brewery,01/09/1983,01/12/1984,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,"Blessington Industrial Estate, Wicklow","53.165853,-6.540068",,Defunct
Herald Brewery,01/01/1982,01/01/1985,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Coleraine,"55.133031,-6.673442",,Defunct
Dempsey's Brewery,01/07/1982,01/01/1986,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,"Jamestown Industrial Estate, Inchicore","53.333989,-6.333947",,Defunct
Down Royal Brewery,01/01/1982,01/01/1988,https://irishcraftbrewing.com/pics/logos/32143Logo.jpeg,Lisburn,"54.5166471,-6.0541306",,Defunct
Celtic Brew,01/01/1997,01/01/2000,https://irishcraftbrewing.com/pics/logos/36526Logo.jpeg,Enfield,"53.416452,-6.83828",,Defunct
Emerald Brewing,01/01/1997,01/01/2000,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Boyle,"53.970535,-8.301379",,Defunct
Dublin Brewing Company,01/01/1996,01/01/2004,https://irishcraftbrewing.com/pics/logos/37987Logo.jpeg,"141 West King Street, Dublin","53.349872,-6.275953",,Defunct
Dwan's Brewery,01/01/1998,01/01/2004,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Thurles,"52.678095,-7.812957",,Defunct
Irish Brewing Company,01/01/1997,01/01/2005,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Newbridge,"53.168871,-6.819448",,Defunct
Balbriggan Brewing,15/01/1999,29/09/2005,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Lusk,"53.5263264,-6.1658841",,Defunct
Biddy Early Brewery,01/01/1995,01/01/2008,https://irishcraftbrewing.com/pics/logos/39448Logo.jpeg,Inagh,"52.877513,-9.174876",,Microbrewery
Kinsale Brewing Company,01/01/2001,01/01/2009,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,The Glen Kinsale,"51.706827,-8.522567",,Defunct
Messrs Maguire,01/01/1998,01/01/2013,https://irishcraftbrewing.com/pics/logos/41275Logo.jpeg,Burgh Quay,"53.346971,-6.258009",,Defunct
Muckish Mountain Brewery,01/01/2014,01/01/2015,https://irishcraftbrewing.com/pics/logos/42005Logo.jpeg,Donegal,"54.653827,-8.1096143",,Defunct
Maltmeister,01/01/2015,01/01/2016,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Bangor,"54.650166,-5.686251",,Defunct
BrewBot,01/01/2015,01/01/2017,https://irishcraftbrewing.com/pics/logos/42736Logo.jpeg,Belfast,"54.597285,-5.93012",,Defunct
Dingle Brewing Company,01/01/2011,01/01/2017,https://irishcraftbrewing.com/pics/logos/42736Logo.jpeg,Spa Road,"52.142809,-10.262823",,Defunct
Jack Cody's,01/01/2014,01/01/2017,https://irishcraftbrewing.com/pics/logos/42736Logo.jpeg,Boyne Business Park,"53.725564,-6.324772",,Defunct
Achill Island Brewery,01/01/2016,01/11/2017,https://irishcraftbrewing.com/pics/logos/43040Logo.jpeg,Bunacurry,"53.9751921,-9.9857745",,Defunct
Evans' Brewery,01/01/2016,01/12/2017,https://irishcraftbrewing.com/pics/logos/43070Logo.jpeg,Carndonagh,"55.2506229,-7.2668905",,Defunct
Jack Doyle's,01/01/2014,01/12/2017,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Blackwater,"52.445318,-6.348784",,Defunct
Liberty Brewing Company,01/01/2016,01/01/2018,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Thurles,"52.678095,-7.812957",,Defunct
Pokertree Brewing Company,01/01/2013,02/01/2018,https://irishcraftbrewing.com/pics/logos/43102Logo.jpeg,Carrickmore,"54.5955769,-7.0480128",,Defunct
Heartland Brewing Company,01/01/2018,01/11/2018,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,"Derrymullen, Ballinasloe","53.341536,-8.253369",,Defunct
Red Hand Brewing Company,01/01/2013,01/04/2018,https://irishcraftbrewing.com/pics/logos/43191Logo.jpeg,Dungannon,"54.5082725,-6.7669352",,Defunct
Arthurstown Brewing Company,01/01/2015,31/05/2018,https://irishcraftbrewing.com/pics/logos/43251Logo.jpeg,Arthurstown,"52.2420168,-6.9513715",,Defunct
Sheelin,01/04/2013,01/06/2018,https://irishcraftbrewing.com/pics/logos/43252Logo.jpeg,Bellanaleck,"54.2964196,-7.6422052",,Defunct
Independent Brewing Company of Ireland,01/01/2014,01/07/2018,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Carraroe,"53.2647173060003,-9.59933431263315",,Defunct
Bo Bristle,01/01/2010,01/01/2019,https://irishcraftbrewing.com/pics/logos/43466Logo.jpeg,Banagher,"53.1901112,-7.9861049",,Defunct
Boghopper Brewery,01/01/2015,01/01/2019,https://irishcraftbrewing.com/pics/logos/43466Logo.jpeg,Muff,"55.071007,-7.284137",,Defunct
Carrig Brewing Company,01/01/2012,01/01/2019,https://irishcraftbrewing.com/pics/logos/43466Logo.jpeg,Drumshanbo,"54.048727,-8.0358416",,Defunct
Kelly's Mountain Brew,01/01/2014,01/01/2019,https://irishcraftbrewing.com/pics/logos/43466Logo.jpeg,Clane,"53.293785,-6.6870404",,Defunct
Glens Of Antrim Craft Ale And Beers,01/01/2014,01/03/2019,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,Ballycastle,"55.2052888,-6.2532947",,Defunct
West Mayo Brewery,01/07/2013,25/03/2019,https://irishcraftbrewing.com/pics/logos/43549Logo.jpeg,Castlebar,"53.8550014,-9.2879257",,Defunct
Finn Valley Brewing,01/01/2017,01/01/2020,https://irishcraftbrewing.com/pics/logos/43831Logo.jpeg,"Furzehaven house, Donegal Rd,
Ballybofey, Ireland, F93 TX68","54.796,-7.786102",,Defunct
Lecale Brewery,01/01/2018,01/01/2020,https://irishcraftbrewing.com/pics/logos/43831Logo.jpeg,Ardglass,"54.264288,-5.613985",,Defunct
Loudons Brewing,01/01/2017,01/03/2020,https://irishcraftbrewing.com/pics/logos/43891Logo.jpeg,"Glendree, Ayle Upper, Feakle","52.913425,-8.716654",,Defunct
